not mapped	-	replaced by/mapped	-	Mapped to	-	Remarks (April 2012)
	=	P17612	=	5566	=	
	=	P17643	=	7306	=	
	=	P17655	=	824	=	
	=	P17661	=	1674	=	
	=	P17676	=	1051	=	
	=	P17677	=	2596	=	
	=	P17706	=	5771	=	
	=	P17735	=	6898	=	
	=	P17813	=	2022	=	
	=	P17844	=	1655	=	
	=	P17858	=	5211	=	
	=	P17861	=	7494	=	
	=	P17931	=	3958	=	
	=	P17936	=	3486	=	
	=	P17947	=	6688	=	
	=	P17948	=	2321	=	
	=	P18031	=	5770	=	
	=	P18075	=	655	=	
	=	P18084	=	3693	=	
	=	P18085	=	378	=	
	=	P18146	=	1958	=	
	=	P18206	=	7414	=	
	=	P18283	=	2877	=	
	=	P18428	=	3929	=	
	=	P18433	=	5786	=	
	=	P18510	=	3557	=	
	=	P18545	=	5148	=	
	=	P18564	=	3694	=	
	=	P18754	=	1104	=	
	=	P18827	=	6382	=	
	=	P18846	=	466	=	
	=	P18847	=	467	=	
	=	P18848	=	468	=	
	=	P18850	=	22926	=	
	=	P18859	=	522	=	
	=	P18887	=	7515	=	
	=	P19022	=	1000	=	
	=	P19086	=	2781	=	
	=	P19087	=	2780	=	
	=	P19174	=	5335	=	
	=	P19235	=	2057	=	
	=	P19320	=	7412	=	
	=	P19338	=	4691	=	
	=	P19367	=	3098	=	
	=	P19419	=	2002	=	
	=	P19438	=	7132	=	
	=	P19525	=	5610	=	
	=	P19532	=	7030	=	
	=	P19544	=	7490	=	
	=	P19634	=	6548	=	
	=	P19793	=	6256	=	
	=	P19838	=	4790	=	
	=	P19878	=	4688	=	
	=	P19883	=	10468	=	
	=	P20020	=	490	=	
	=	P20151	=	3817	=	
	=	P20226	=	6908	=	
	=	P20248	=	890	=	
	=	P20273	=	933	=	
	=	P20333	=	7133	=	
	=	P20338	=	5867	=	
	=	P20339	=	5868	=	
	=	P20393	=	9572	=	
	=	P20700	=	4001	=	
	=	P20701	=	3683	=	
	=	P20702	=	3687	=	
	=	P20749	=	602	=	
	=	P20783	=	4908	=	
	=	P20794	=	4117	=	
	=	P20800	=	1907	=	
	=	P20823	=	6927	=	
	=	P20827	=	1942	=	
	=	P20851	=	725	=	
	=	P20908	=	1289	=	
	=	P20916	=	4099	=	
	=	P20936	=	5921	=	
	=	P20963	=	919	=	
	=	P21127	=	984	=	
	=	P21246	=	5764	=	
	=	P21333	=	2316	=	
	=	P21359	=	4763	=	
	=	P21453	=	1901	=	
	=	P21462	=	2357	=	
	=	P21554	=	1268	=	
	=	P21579	=	6857	=	
	=	P21580	=	7128	=	
	=	P21583	=	4254	=	
	=	P21589	=	4907	=	
	=	P21673	=	6303	=	
	=	P21675	=	6872	=	
	=	P21709	=	2041	=	
O75228	=	P21731	=	6915	=	
	=	P21731	=	6915	=	
	=	P21741	=	4192	=	
	=	P21781	=	2252	=	
	=	P21802	=	2263	=	
	=	P21810	=	633	=	
	=	P21815	=	3381	=	
	=	P21854	=	971	=	
	=	P21860	=	2065	=	
	=	P21926	=	928	=	
	=	P21980	=	7052	=	
	=	P22004	=	654	=	
	=	P22301	=	3586	=	
	=	P22303	=	43	=	
	=	P22392	=	4831	=	
	=	P22392	=	654364	=	
	=	P22415	=	7391	=	
	=	P22455	=	2264	=	
	=	P22570	=	2232	=	
	=	P22607	=	2261	=	
	=	P22612	=	5568	=	
	=	P22681	=	867	=	
	=	P22692	=	3487	=	
	=	P22694	=	5567	=	
	=	P22736	=	3164	=	
	=	P22830	=	2235	=	
	=	P22888	=	3973	=	
	=	P23141	=	1066	=	
	=	P23229	=	3655	=	
	=	P23258	=	7283	=	
	=	P23284	=	5479	=	
	=	P23409	=	4618	=	
	=	P23443	=	6198	=	
	=	P23458	=	3716	=	
	=	P23469	=	5791	=	
	=	P23511	=	4800	=	
	=	P23515	=	4974	=	
	=	P23528	=	1072	=	
	=	P23560	=	627	=	
	=	P23588	=	1975	=	
	=	P23743	=	1606	=	
	=	P23760	=	5077	=	
	=	P23769	=	2624	=	
	=	P23771	=	2625	=	
	=	P23921	=	6240	=	
	=	P24043	=	3908	=	
	=	P24158	=	5657	=	
	=	P24385	=	595	=	
	=	P24390	=	10945	=	
	=	P24394	=	3566	=	
	=	P24468	=	7026	=	
	=	P24522	=	1647	=	
	=	P24530	=	1910	=	
